UTC,intercept found,V_intercept_X,_Y,_Z,Intercept_R,_ELon,_Lat,emission,V_intercept_to_nh,_Y,_Z,V_nh_X,_Y,_Z
"2015-07-14T11:55:00","False",0.000,0.000,0.000,-999.000,-999.000,-999.000,-999.000,0.000,0.000,0.000,-7554.627,-7543.942,-10101.624
"2015-07-14T11:55:01","False",0.000,0.000,0.000,-999.000,-999.000,-999.000,-999.000,0.000,0.000,0.000,-7546.360,-7549.433,-10111.056
"2015-07-14T11:55:02","False",0.000,0.000,0.000,-999.000,-999.000,-999.000,-999.000,0.000,0.000,0.000,-7538.093,-7554.924,-10120.488
"2015-07-14T11:55:03","False",0.000,0.000,0.000,-999.000,-999.000,-999.000,-999.000,0.000,0.000,0.000,-7529.826,-7560.416,-10129.920
"2015-07-14T11:55:04","False",0.000,0.000,0.000,-999.000,-999.000,-999.000,-999.000,0.000,0.000,0.000,-7521.559,-7565.908,-10139.352
"2015-07-14T11:55:05","False",0.000,0.000,0.000,-999.000,-999.000,-999.000,-999.000,0.000,0.000,0.000,-7513.293,-7571.400,-10148.784
"2015-07-14T11:55:06","False",0.000,0.000,0.000,-999.000,-999.000,-999.000,-999.000,0.000,0.000,0.000,-7505.027,-7576.892,-10158.216
"2015-07-14T11:55:07","False",0.000,0.000,0.000,-999.000,-999.000,-999.000,-999.000,0.000,0.000,0.000,-7496.760,-7582.384,-10167.648
"2015-07-14T11:55:08","False",0.000,0.000,0.000,-999.000,-999.000,-999.000,-999.000,0.000,0.000,0.000,-7488.494,-7587.877,-10177.080
"2015-07-14T11:55:09","False",0.000,0.000,0.000,-999.000,-999.000,-999.000,-999.000,0.000,0.000,0.000,-7480.228,-7593.369,-10186.511
"2015-07-14T11:55:10","False",0.000,0.000,0.000,-999.000,-999.000,-999.000,-999.000,0.000,0.000,0.000,-7471.963,-7598.862,-10195.943
"2015-07-14T11:55:11","False",0.000,0.000,0.000,-999.000,-999.000,-999.000,-999.000,0.000,0.000,0.000,-7463.697,-7604.355,-10205.375
"2015-07-14T11:55:12","False",0.000,0.000,0.000,-999.000,-999.000,-999.000,-999.000,0.000,0.000,0.000,-7455.431,-7609.849,-10214.807
"2015-07-14T11:55:13","False",0.000,0.000,0.000,-999.000,-999.000,-999.000,-999.000,0.000,0.000,0.000,-7447.166,-7615.342,-10224.239
"2015-07-14T11:55:14","False",0.000,0.000,0.000,-999.000,-999.000,-999.000,-999.000,0.000,0.000,0.000,-7438.900,-7620.836,-10233.671
